timestamp,latitude,longitude,elevation,accuracy,bearing,speed_meters_per_second,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,distance_meters,elapsed_time_seconds
1577399162.0,-27.698231415643743,-51.11129016012848,957.7103030990248,4.0,11.364437,23.369658,21,gps,0.8,1.1,1.4,3.6,,,,84,,23.342812212149088,1.0
1577399163.0,-27.69802443934345,-51.11123852547328,957.5799128294564,4.0,12.257204,23.48208,21,gps,0.8,1.1,1.4,3.6,,,,84,,23.49464190040252,1.0
1577399165.0,-27.69760660941444,-51.11113749849624,956.8690157261864,4.0,11.962619,23.720278,21,gps,0.8,1.1,1.4,3.6,,,,84,,47.36180060881509,2.0
1577399166.0,-27.69739729948374,-51.11108838599705,956.4216859960952,4.0,11.677148,23.726152,21,gps,0.8,1.2,1.4,3.6,,,,84,,23.69505579907117,1.0
1577399167.0,-27.697189299653747,-51.11104251677331,955.8431723274372,4.0,11.033519,23.493692,20,gps,0.8,1.2,1.4,3.6,,,,84,,23.489254653677257,1.0
1577399168.0,-27.69698276818912,-51.11100597862523,955.3126153249642,4.0,8.83761,23.217972,20,gps,0.8,1.2,1.4,3.6,,,,84,,23.168717885332637,1.0
1577399169.0,-27.69677697483175,-51.1109828651575,954.752253052857,4.0,5.6515627,22.963596,20,gps,0.8,1.2,1.4,3.6,,,,84,,22.918578123393743,1.0
1577399170.0,-27.696572502034087,-51.11097440802418,954.2754384763476,4.0,2.1216834,22.710833,20,gps,0.8,1.2,1.4,3.6,,,,84,,22.673916569134086,1.0
1577399171.0,-27.69636825301194,-51.11098054846157,953.6643187993302,4.0,358.43466,22.685877,20,gps,0.8,1.2,1.4,3.6,,,,84,,22.641870612668864,1.0
1577399172.0,-27.69616422104267,-51.111003648583065,953.1711003808592,4.0,354.27383,22.8241,21,gps,0.8,1.2,1.4,3.6,,,,84,,22.72423429568568,1.0
1577399173.0,-27.69595992583121,-51.111042221021926,952.5804899766574,4.0,350.4607,22.996504,21,gps,0.8,1.2,1.4,3.6,,,,84,,22.956360580491694,1.0
1577399174.0,-27.69575643576273,-51.11109503400282,951.9875786304724,4.0,347.01324,23.194569,21,gps,0.8,1.2,1.4,3.6,,,,84,,23.143553612239504,1.0
1577399175.0,-27.69555299167192,-51.11115686486546,951.6774705397644,4.0,344.91824,23.417637,21,gps,0.8,1.2,1.4,3.6,,,,84,,23.354933035835735,1.0
1577399176.0,-27.69534900879162,-51.11122348172184,951.4579618187736,4.0,343.91055,23.594755,21,gps,0.8,1.2,1.4,3.6,,,,84,,23.5399599108303,1.0
1577399177.0,-27.695160164320733,-51.11128400558582,951.3927667813116,4.0,344.2232,21.462296,21,gps,0.9,1.5,1.7,3.6,,,,84,,21.76159909033548,1.0
1577399178.0,-27.69501513146648,-51.11132866516697,951.3374925364742,4.0,344.63712,16.533304,20,gps,0.8,1.2,1.5,3.6,,,,84,,16.66451620364963,1.0
1577399179.0,-27.69491850737125,-51.11136643663963,951.5565774472552,4.0,340.8421,11.23199,20,gps,0.9,1.3,1.6,3.6,,,,84,,11.337026510171626,1.0
1577399180.0,-27.69485569289536,-51.11140984472619,951.5895466803388,4.0,328.45795,8.1301155,20,gps,0.8,1.3,1.6,3.6,,,,84,,8.172197695519166,1.0
1577399181.0,-27.69481689908612,-51.11146885685258,951.6265572206858,4.0,305.76096,7.1836414,20,gps,0.8,1.3,1.6,3.6,,,,84,,7.2361980432811395,1.0
1577399182.0,-27.69480084349281,-51.11152980286651,951.4441790253572,4.0,286.11612,6.24383,20,gps,0.8,1.3,1.6,3.6,,,,84,,6.269328733506674,1.0
1577399183.0,-27.69478410374781,-51.1115815752764,951.4738580318548,6.0,272.1758,5.0710187,19,gps,0.8,1.2,1.5,3.6,,,,84,,5.433185695820858,1.0
1577399184.0,-27.694784775290064,-51.11163222447245,950.9497188085484,8.0,265.4179,3.8521402,20,gps,0.8,1.2,1.4,3.6,,,,84,,4.996470293680068,1.0
1577399186.0,-27.6947788849966,-51.11170903503058,950.9210686458274,6.0,266.40225,3.7941961,20,gps,0.8,1.1,1.4,3.6,,,,84,,7.604476062943178,2.0
1577399187.0,-27.694774879808094,-51.111742447538255,950.999153088606,6.0,272.3503,3.4848602,21,gps,0.8,1.1,1.4,3.6,,,,84,,3.325481448612233,1.0
